,energy_RS,energy_ZB,energy_diff,min_struc_type,Z(A),Z(B),period(A),period(B),IP(A),IP(B),EA(A),EA(B),E_HOMO(A),E_HOMO(B),E_LUMO(A),E_LUMO(B),r_s(A),r_s(B),r_p(A),r_p(B),r_d(A),r_d(B)
BN,-1075.0334152931262,-1076.7454955539624,1.7120802608362737,ZB,5.0,7.0,2.0,2.0,-8.18999958038,-13.5852003098,-0.107400000095,-1.86749994755,-3.71499991417,-7.2389998436,2.24799990654,3.0569999218,0.8100000023839999,0.540000021458,0.829999983311,0.509999990463,1.9500000476800001,1.53999996185
BP,-4980.2724198777205,-4981.291645038916,1.0192251611952088,ZB,5.0,15.0,2.0,3.0,-8.18999958038,-9.75059986115,-0.107400000095,-1.9199999570800002,-3.71499991417,-5.59600019455,2.24799990654,0.18299999833099997,0.8100000023839999,0.829999983311,0.829999983311,0.97000002861,1.9500000476800001,1.76999998093
BSb,-89683.61370141403,-89684.1945505284,0.5808491143689025,ZB,5.0,51.0,2.0,5.0,-8.18999958038,-8.46829986572,-0.107400000095,-1.84669995308,-3.71499991417,-4.99100017548,2.24799990654,0.104999996722,0.8100000023839999,1.0,0.829999983311,1.23000001907,1.9500000476800001,2.0599999427799998
BaO,-113504.82696334521,-113504.73396479135,-0.09299855386780109,RS,56.0,8.0,6.0,2.0,-5.515699863430001,-16.433200836199997,0.277999997139,-3.00589990616,-3.3459999561299996,-9.19699954987,-2.1289999484999997,2.54099988937,2.15000009537,0.460000008345,2.63000011444,0.430000007153,1.35000002384,2.22000002861
BaS,-117910.27093993322,-117909.9511775038,-0.3197624294261914,RS,56.0,16.0,6.0,3.0,-5.515699863430001,-11.795100212100001,0.277999997139,-2.8448998928099996,-3.3459999561299996,-7.105999946589999,-2.1289999484999997,0.64200001955,2.15000009537,0.7400000095370001,2.63000011444,0.850000023842,1.35000002384,2.36999988556
BaSe,-145716.76967211007,-145716.42622697598,-0.3434451340872329,RS,56.0,34.0,6.0,4.0,-5.515699863430001,-10.9460000992,0.277999997139,-2.7509999275200006,-3.3459999561299996,-6.65399980545,-2.1289999484999997,1.31599998474,2.15000009537,0.800000011921,2.63000011444,0.949999988079,1.35000002384,2.18000006676
BaTe,-206204.2290453692,-206203.85365855953,-0.37538680966827087,RS,56.0,52.0,6.0,5.0,-5.515699863430001,-9.86670017242,0.277999997139,-2.66599988937,-3.3459999561299996,-6.10900020599,-2.1289999484999997,0.09899999946360001,2.15000009537,0.9399999976160001,2.63000011444,1.1399999856899998,1.35000002384,1.8300000429199998
BeO,-1218.439958463514,-1219.1317960407468,0.6918375772329455,ZB,4.0,8.0,2.0,2.0,-9.459400177000001,-16.433200836199997,0.630500018597,-3.00589990616,-5.599999904630001,-9.19699954987,-2.0980000495900004,2.54099988937,1.08000004292,0.460000008345,1.21000003815,0.430000007153,2.88000011444,2.22000002861
BeS,-5622.515539493347,-5623.02186716789,0.5063276745431722,ZB,4.0,16.0,2.0,3.0,-9.459400177000001,-11.795100212100001,0.630500018597,-2.8448998928099996,-5.599999904630001,-7.105999946589999,-2.0980000495900004,0.64200001955,1.08000004292,0.7400000095370001,1.21000003815,0.850000023842,2.88000011444,2.36999988556
BeSe,-33428.79676209965,-33429.291702542425,0.4949404427752597,ZB,4.0,34.0,2.0,4.0,-9.459400177000001,-10.9460000992,0.630500018597,-2.7509999275200006,-5.599999904630001,-6.65399980545,-2.0980000495900004,1.31599998474,1.08000004292,0.800000011921,1.21000003815,0.949999988079,2.88000011444,2.18000006676
BeTe,-93916.10418609559,-93916.57277200608,0.4685859104938572,ZB,4.0,52.0,2.0,5.0,-9.459400177000001,-9.86670017242,0.630500018597,-2.66599988937,-5.599999904630001,-6.10900020599,-2.0980000495900004,0.09899999946360001,1.08000004292,0.9399999976160001,1.21000003815,1.1399999856899998,2.88000011444,1.8300000429199998
C2,-1026.5488202746917,-1029.1774239138254,2.628603639133644,ZB,6.0,6.0,2.0,2.0,-10.851699829100001,-10.851699829100001,-0.87239998579,-0.87239998579,-5.415999889369999,-5.415999889369999,1.99199998379,1.99199998379,0.6399999856949999,0.6399999856949999,0.629999995232,0.629999995232,1.62999999523,1.62999999523
CaO,-10276.90108522353,-10276.63586618221,-0.265219041319142,RS,20.0,8.0,4.0,2.0,-6.4279999733,-16.433200836199997,0.303900003433,-3.00589990616,-3.8640000820199996,-9.19699954987,-2.132999897,2.54099988937,1.7599999904599997,0.460000008345,2.31999993324,0.430000007153,0.6800000071529999,2.22000002861
CaS,-14681.946741034999,-14681.577607840461,-0.3691331945374259,RS,20.0,16.0,4.0,3.0,-6.4279999733,-11.795100212100001,0.303900003433,-2.8448998928099996,-3.8640000820199996,-7.105999946589999,-2.132999897,0.64200001955,1.7599999904599997,0.7400000095370001,2.31999993324,0.850000023842,0.6800000071529999,2.36999988556
CaSe,-42488.3529202005,-42487.99212246608,-0.3607977344217943,RS,20.0,34.0,4.0,4.0,-6.4279999733,-10.9460000992,0.303900003433,-2.7509999275200006,-3.8640000820199996,-6.65399980545,-2.132999897,1.31599998474,1.7599999904599997,0.800000011921,2.31999993324,0.949999988079,0.6800000071529999,2.18000006676
CaTe,-102975.69611891978,-102975.3456626407,-0.35045627907675225,RS,20.0,52.0,4.0,5.0,-6.4279999733,-9.86670017242,0.303900003433,-2.66599988937,-3.8640000820199996,-6.10900020599,-2.132999897,0.09899999946360001,1.7599999904599997,0.9399999976160001,2.31999993324,1.1399999856899998,0.6800000071529999,1.8300000429199998
CdO,-78015.16830946339,-78015.08414810536,-0.08416135802690405,RS,48.0,8.0,5.0,2.0,-9.5813999176,-16.433200836199997,0.838699996471,-3.00589990616,-5.952000141139999,-9.19699954987,-1.30900001526,2.54099988937,1.23000001907,0.460000008345,1.7400000095400003,0.430000007153,2.59999990463,2.22000002861
CdS,-82420.56336174316,-82420.63603453907,0.07267279591178522,ZB,48.0,16.0,5.0,3.0,-9.5813999176,-11.795100212100001,0.838699996471,-2.8448998928099996,-5.952000141139999,-7.105999946589999,-1.30900001526,0.64200001955,1.23000001907,0.7400000095370001,1.7400000095400003,0.850000023842,2.59999990463,2.36999988556
CdSe,-110227.06126082806,-110227.14483277715,0.0835719490860356,ZB,48.0,34.0,5.0,4.0,-9.5813999176,-10.9460000992,0.838699996471,-2.7509999275200006,-5.952000141139999,-6.65399980545,-1.30900001526,1.31599998474,1.23000001907,0.800000011921,1.7400000095400003,0.949999988079,2.59999990463,2.18000006676
CdTe,-170714.5893124294,-170714.7038519616,0.11453953219461255,ZB,48.0,52.0,5.0,5.0,-9.5813999176,-9.86670017242,0.838699996471,-2.66599988937,-5.952000141139999,-6.10900020599,-1.30900001526,0.09899999946360001,1.23000001907,0.9399999976160001,1.7400000095400003,1.1399999856899998,2.59999990463,1.8300000429199998
CsBr,-143254.4343374349,-143254.27847013192,-0.15586730299401097,RS,55.0,35.0,6.0,4.0,-4.0061998367300005,-12.649600029,-0.569599986076,-3.73930001259,-2.22000002861,-8.001000404360001,-0.547999978065,0.7080000042919999,2.46000003815,0.75,3.16000008583,0.879999995232,1.9700000286099997,1.87000000477
CsCl,-113870.6262104306,-113870.47586427315,-0.15034615744662005,RS,55.0,17.0,6.0,3.0,-4.0061998367300005,-13.9018001556,-0.569599986076,-3.9707999229400004,-2.22000002861,-8.699999809269999,-0.547999978065,0.574000000954,2.46000003815,0.6800000071529999,3.16000008583,0.7599999904629999,1.9700000286099997,1.6699999570800002
CsF,-108950.88884883074,-108950.78058551207,-0.10826331867428962,RS,55.0,9.0,6.0,2.0,-4.0061998367300005,-19.4043006897,-0.569599986076,-4.27349996567,-2.22000002861,-11.2939996719,-0.547999978065,1.25100004673,2.46000003815,0.409999996424,3.16000008583,0.37000000476800005,1.9700000286099997,1.42999994755
CsI,-205812.1828572401,-205812.02046976562,-0.16238747449824587,RS,55.0,53.0,6.0,5.0,-4.0061998367300005,-11.2571001053,-0.569599986076,-3.5134999752,-2.22000002861,-7.2360000610399995,-0.547999978065,0.212999999523,2.46000003815,0.899999976158,3.16000008583,1.07000005245,1.9700000286099997,1.7200000286099997
CuBr,-58243.772836020624,-58243.92527866041,0.15244263978820527,ZB,29.0,35.0,4.0,4.0,-8.38879966736,-12.649600029,-1.6384999752,-3.73930001259,-4.855999946590001,-8.001000404360001,-0.64099997282,0.7080000042919999,1.20000004768,0.75,1.67999994755,0.879999995232,2.57999992371,1.87000000477
CuCl,-28859.946960543413,-28860.103219256605,0.15625871319207363,ZB,29.0,17.0,4.0,3.0,-8.38879966736,-13.9018001556,-1.6384999752,-3.9707999229400004,-4.855999946590001,-8.699999809269999,-0.64099997282,0.574000000954,1.20000004768,0.6800000071529999,1.67999994755,0.7599999904629999,2.57999992371,1.6699999570800002
CuF,-23939.960840976764,-23939.94381870442,-0.017022272342728684,RS,29.0,9.0,4.0,2.0,-8.38879966736,-19.4043006897,-1.6384999752,-4.27349996567,-4.855999946590001,-11.2939996719,-0.64099997282,1.25100004673,1.20000004768,0.409999996424,1.67999994755,0.37000000476800005,2.57999992371,1.42999994755
CuI,-120801.61870824985,-120801.82338283311,0.20467458326311316,ZB,29.0,53.0,4.0,5.0,-8.38879966736,-11.2571001053,-1.6384999752,-3.5134999752,-4.855999946590001,-7.2360000610399995,-0.64099997282,0.212999999523,1.20000004768,0.899999976158,1.67999994755,1.07000005245,2.57999992371,1.7200000286099997
GaN,-27292.963945678744,-27293.39739091784,0.4334452390939987,ZB,31.0,7.0,4.0,2.0,-5.81820011139,-13.5852003098,-0.10809999704399999,-1.86749994755,-2.73200011253,-7.2389998436,0.129999995232,3.0569999218,0.9900000095370001,0.540000021458,1.33000004292,0.509999990463,2.16000008583,1.53999996185
GaP,-31198.35551591384,-31198.704267711593,0.3487517977519019,ZB,31.0,15.0,4.0,3.0,-5.81820011139,-9.75059986115,-0.10809999704399999,-1.9199999570800002,-2.73200011253,-5.59600019455,0.129999995232,0.18299999833099997,0.9900000095370001,0.829999983311,1.33000004292,0.97000002861,2.16000008583,1.76999998093
GaSb,-115901.98274863836,-115902.13737392346,0.15462528509669937,ZB,31.0,51.0,4.0,5.0,-5.81820011139,-8.46829986572,-0.10809999704399999,-1.84669995308,-2.73200011253,-4.99100017548,0.129999995232,0.104999996722,0.9900000095370001,1.0,1.33000004292,1.23000001907,2.16000008583,2.0599999427799998
Ge2,-57359.56120416938,-57359.76205669544,0.2008525260607712,ZB,32.0,32.0,4.0,4.0,-7.566999912260001,-7.566999912260001,-0.9490000009540001,-0.9490000009540001,-4.04600000381,-4.04600000381,2.17499995232,2.17499995232,0.920000016689,0.920000016689,1.15999996662,1.15999996662,2.36999988556,2.36999988556
GeC,-29193.278475127725,-29194.089918007925,0.8114428802000475,ZB,32.0,6.0,4.0,2.0,-7.566999912260001,-10.851699829100001,-0.9490000009540001,-0.87239998579,-4.04600000381,-5.415999889369999,2.17499995232,1.99199998379,0.920000016689,0.6399999856949999,1.15999996662,0.629999995232,2.36999988556,1.62999999523
GeSi,-32616.69403888785,-32616.95724905803,0.263210170178354,ZB,32.0,14.0,4.0,3.0,-7.566999912260001,-7.75769996643,-0.9490000009540001,-0.992999970913,-4.04600000381,-4.16300010681,2.17499995232,0.439999997616,0.920000016689,0.9399999976160001,1.15999996662,1.12999999523,2.36999988556,1.88999998569
InAs,-111895.78725476544,-111895.92130234063,0.13404757519310806,ZB,49.0,33.0,5.0,4.0,-5.53739976883,-9.26189994812,-0.256300002337,-1.8392000198400003,-2.6970000267,-5.34100008011,0.36800000071500005,0.0640000030398,1.12999999523,0.850000023842,1.5,1.03999996185,3.1099998951,2.0199999809299998
InN,-81730.71478475723,-81730.86850504993,0.15372029269929044,ZB,49.0,7.0,5.0,2.0,-5.53739976883,-13.5852003098,-0.256300002337,-1.86749994755,-2.6970000267,-7.2389998436,0.36800000071500005,3.0569999218,1.12999999523,0.540000021458,1.5,0.509999990463,3.1099998951,1.53999996185
InP,-85636.41199652261,-85636.59118980984,0.17919328722928185,ZB,49.0,15.0,5.0,3.0,-5.53739976883,-9.75059986115,-0.256300002337,-1.9199999570800002,-2.6970000267,-5.59600019455,0.36800000071500005,0.18299999833099997,1.12999999523,0.829999983311,1.5,0.97000002861,3.1099998951,1.76999998093
InSb,-170340.10360629848,-170340.1816661715,0.07805987301981077,ZB,49.0,51.0,5.0,5.0,-5.53739976883,-8.46829986572,-0.256300002337,-1.84669995308,-2.6970000267,-4.99100017548,0.36800000071500005,0.104999996722,1.12999999523,1.0,1.5,1.23000001907,3.1099998951,2.0599999427799998
KBr,-43846.22818606151,-43846.06201009732,-0.16617596419382608,RS,19.0,35.0,4.0,4.0,-4.43319988251,-12.649600029,-0.621299982071,-3.73930001259,-2.4260001182599997,-8.001000404360001,-0.6970000267030001,0.7080000042919999,2.13000011444,0.75,2.4400000572200002,0.879999995232,1.78999996185,1.87000000477
KCl,-14462.44447168486,-14462.280011004648,-0.1644606802110502,RS,19.0,17.0,4.0,3.0,-4.43319988251,-13.9018001556,-0.621299982071,-3.9707999229400004,-2.4260001182599997,-8.699999809269999,-0.6970000267030001,0.574000000954,2.13000011444,0.6800000071529999,2.4400000572200002,0.7599999904629999,1.78999996185,1.6699999570800002
KF,-9542.777877059552,-9542.631470961054,-0.1464060984981188,RS,19.0,9.0,4.0,2.0,-4.43319988251,-19.4043006897,-0.621299982071,-4.27349996567,-2.4260001182599997,-11.2939996719,-0.6970000267030001,1.25100004673,2.13000011444,0.409999996424,2.4400000572200002,0.37000000476800005,1.78999996185,1.42999994755
KI,-106403.94989684867,-106403.78285770351,-0.1670391451625619,RS,19.0,53.0,4.0,5.0,-4.43319988251,-11.2571001053,-0.621299982071,-3.5134999752,-2.4260001182599997,-7.2360000610399995,-0.6970000267030001,0.212999999523,2.13000011444,0.899999976158,2.4400000572200002,1.07000005245,1.78999996185,1.7200000286099997
LiBr,-35758.254036685415,-35758.22129047253,-0.03274621288437629,RS,3.0,35.0,2.0,4.0,-5.32910013199,-12.649600029,-0.698099970818,-3.73930001259,-2.8740000724799994,-8.001000404360001,-0.9779999852179999,0.7080000042919999,1.64999997616,0.75,2.0,0.879999995232,6.92999982834,1.87000000477
LiCl,-6374.542821311546,-6374.504439828846,-0.03838148269915109,RS,3.0,17.0,2.0,3.0,-5.32910013199,-13.9018001556,-0.698099970818,-3.9707999229400004,-2.8740000724799994,-8.699999809269999,-0.9779999852179999,0.574000000954,1.64999997616,0.6800000071529999,2.0,0.7599999904629999,6.92999982834,1.6699999570800002
LiF,-1455.2422308540065,-1455.1827425371428,-0.059488316863735236,RS,3.0,9.0,2.0,2.0,-5.32910013199,-19.4043006897,-0.698099970818,-4.27349996567,-2.8740000724799994,-11.2939996719,-0.9779999852179999,1.25100004673,1.64999997616,0.409999996424,2.0,0.37000000476800005,6.92999982834,1.42999994755
LiI,-98315.90504246672,-98315.88338153038,-0.021660936341504566,RS,3.0,53.0,2.0,5.0,-5.32910013199,-11.2571001053,-0.698099970818,-3.5134999752,-2.8740000724799994,-7.2360000610399995,-0.9779999852179999,0.212999999523,1.64999997616,0.899999976158,2.0,1.07000005245,6.92999982834,1.7200000286099997
MgO,-3737.0747449401097,-3736.8424702157927,-0.23227472431699425,RS,12.0,8.0,3.0,2.0,-8.037099838260001,-16.433200836199997,0.692499995232,-3.00589990616,-4.78200006485,-9.19699954987,-1.3580000400499999,2.54099988937,1.33000004292,0.460000008345,1.89999997616,0.430000007153,3.17000007629,2.22000002861
MgS,-8141.593383043353,-8141.506683538365,-0.08669950498824619,RS,12.0,16.0,3.0,3.0,-8.037099838260001,-11.795100212100001,0.692499995232,-2.8448998928099996,-4.78200006485,-7.105999946589999,-1.3580000400499999,0.64200001955,1.33000004292,0.7400000095370001,1.89999997616,0.850000023842,3.17000007629,2.36999988556
MgSe,-35947.940030845435,-35947.88472904348,-0.05530180195637513,RS,12.0,34.0,3.0,4.0,-8.037099838260001,-10.9460000992,0.692499995232,-2.7509999275200006,-4.78200006485,-6.65399980545,-1.3580000400499999,1.31599998474,1.33000004292,0.800000011921,1.89999997616,0.949999988079,3.17000007629,2.18000006676
MgTe,-96435.2383537187,-96435.23376243205,-0.004591286648064852,RS,12.0,52.0,3.0,5.0,-8.037099838260001,-9.86670017242,0.692499995232,-2.66599988937,-4.78200006485,-6.10900020599,-1.3580000400499999,0.09899999946360001,1.33000004292,0.9399999976160001,1.89999997616,1.1399999856899998,3.17000007629,1.8300000429199998
NaBr,-37859.126083455434,-37858.99965472755,-0.12642872788273962,RS,11.0,35.0,3.0,4.0,-5.223100185390001,-12.649600029,-0.715699970722,-3.73930001259,-2.8190000057200004,-8.001000404360001,-0.717999994755,0.7080000042919999,1.71000003815,0.75,2.59999990463,0.879999995232,6.57000017166,1.87000000477
NaCl,-8475.37343440655,-8475.24044242147,-0.13299198508138943,RS,11.0,17.0,3.0,3.0,-5.223100185390001,-13.9018001556,-0.715699970722,-3.9707999229400004,-2.8190000057200004,-8.699999809269999,-0.717999994755,0.574000000954,1.71000003815,0.6800000071529999,2.59999990463,0.7599999904629999,6.57000017166,1.6699999570800002
NaF,-3555.8434060251107,-3555.697617887323,-0.14578813778780386,RS,11.0,9.0,3.0,2.0,-5.223100185390001,-19.4043006897,-0.715699970722,-4.27349996567,-2.8190000057200004,-11.2939996719,-0.717999994755,1.25100004673,1.71000003815,0.409999996424,2.59999990463,0.37000000476800005,6.57000017166,1.42999994755
NaI,-100416.81623126328,-100416.70139304109,-0.11483822218724526,RS,11.0,53.0,3.0,5.0,-5.223100185390001,-11.2571001053,-0.715699970722,-3.5134999752,-2.8190000057200004,-7.2360000610399995,-0.717999994755,0.212999999523,1.71000003815,0.899999976158,2.59999990463,1.07000005245,6.57000017166,1.7200000286099997
RbBr,-76473.68939266614,-76473.52557213472,-0.16382053142297082,RS,37.0,35.0,5.0,4.0,-4.28889989853,-12.649600029,-0.590399980545,-3.73930001259,-2.3599998951,-8.001000404360001,-0.704999983311,0.7080000042919999,2.24000000954,0.75,3.20000004768,0.879999995232,1.96000003815,1.87000000477
RbCl,-47089.89292301863,-47089.732419464555,-0.1605035540778772,RS,37.0,17.0,5.0,3.0,-4.28889989853,-13.9018001556,-0.590399980545,-3.9707999229400004,-2.3599998951,-8.699999809269999,-0.704999983311,0.574000000954,2.24000000954,0.6800000071529999,3.20000004768,0.7599999904629999,1.96000003815,1.6699999570800002
RbF,-42170.18365900315,-42170.04806322617,-0.13559577698470093,RS,37.0,9.0,5.0,2.0,-4.28889989853,-19.4043006897,-0.590399980545,-4.27349996567,-2.3599998951,-11.2939996719,-0.704999983311,1.25100004673,2.24000000954,0.409999996424,3.20000004768,0.37000000476800005,1.96000003815,1.42999994755
RbI,-139031.4254132218,-139031.25821177967,-0.1672014421201311,RS,37.0,53.0,5.0,5.0,-4.28889989853,-11.2571001053,-0.590399980545,-3.5134999752,-2.3599998951,-7.2360000610399995,-0.704999983311,0.212999999523,2.24000000954,0.899999976158,3.20000004768,1.07000005245,1.96000003815,1.7200000286099997
Si2,-7873.897162319816,-7874.176328141364,0.27916582154830394,ZB,14.0,14.0,3.0,3.0,-7.75769996643,-7.75769996643,-0.992999970913,-0.992999970913,-4.16300010681,-4.16300010681,0.439999997616,0.439999997616,0.9399999976160001,0.9399999976160001,1.12999999523,1.12999999523,1.88999998569,1.88999998569
SiC,-4451.285598745774,-4451.95462247301,0.6690237272359809,ZB,14.0,6.0,3.0,2.0,-7.75769996643,-10.851699829100001,-0.992999970913,-0.87239998579,-4.16300010681,-5.415999889369999,0.439999997616,1.99199998379,0.9399999976160001,0.6399999856949999,1.12999999523,0.629999995232,1.88999998569,1.62999999523
Sn2,-170215.3505922382,-170215.36755613738,0.01696389919379726,ZB,50.0,50.0,5.0,5.0,-7.04279994965,-7.04279994965,-1.03919994831,-1.03919994831,-3.86599993706,-3.86599993706,0.008000000379979999,0.008000000379979999,1.05999994278,1.05999994278,1.34000003338,1.34000003338,2.02999997139,2.02999997139
SnC,-85621.03540856167,-85621.48894653581,0.4535379741428187,ZB,50.0,6.0,5.0,2.0,-7.04279994965,-10.851699829100001,-1.03919994831,-0.87239998579,-3.86599993706,-5.415999889369999,0.008000000379979999,1.99199998379,1.05999994278,0.6399999856949999,1.34000003338,0.629999995232,2.02999997139,1.62999999523
SnGe,-113787.45028712797,-113787.5319504882,0.08166336023714393,ZB,50.0,32.0,5.0,4.0,-7.04279994965,-7.566999912260001,-1.03919994831,-0.9490000009540001,-3.86599993706,-4.04600000381,0.008000000379979999,2.17499995232,1.05999994278,0.920000016689,1.34000003338,1.15999996662,2.02999997139,2.36999988556
SnSi,-89044.49540319394,-89044.63051199305,0.1351087991060922,ZB,50.0,14.0,5.0,3.0,-7.04279994965,-7.75769996643,-1.03919994831,-0.992999970913,-3.86599993706,-4.16300010681,0.008000000379979999,0.439999997616,1.05999994278,0.9399999976160001,1.34000003338,1.12999999523,2.02999997139,1.88999998569
SrO,-44570.36172228581,-44570.141415662634,-0.22030662317411043,RS,38.0,8.0,5.0,2.0,-6.03159999847,-16.433200836199997,0.34310001134900003,-3.00589990616,-3.64100003242,-9.19699954987,-1.3789999485,2.54099988937,1.90999996662,0.460000008345,2.54999995232,0.430000007153,1.20000004768,2.22000002861
SrS,-48975.63558331968,-48975.26714918975,-0.3684341299303924,RS,38.0,16.0,5.0,3.0,-6.03159999847,-11.795100212100001,0.34310001134900003,-2.8448998928099996,-3.64100003242,-7.105999946589999,-1.3789999485,0.64200001955,1.90999996662,0.7400000095370001,2.54999995232,0.850000023842,1.20000004768,2.36999988556
SrSe,-76782.08842904876,-76781.71391809703,-0.37451095173310023,RS,38.0,34.0,5.0,4.0,-6.03159999847,-10.9460000992,0.34310001134900003,-2.7509999275200006,-3.64100003242,-6.65399980545,-1.3789999485,1.31599998474,1.90999996662,0.800000011921,2.54999995232,0.949999988079,1.20000004768,2.18000006676
SrTe,-137269.48714743802,-137269.10785271216,-0.3792947258625645,RS,38.0,52.0,5.0,5.0,-6.03159999847,-9.86670017242,0.34310001134900003,-2.66599988937,-3.64100003242,-6.10900020599,-1.3789999485,0.09899999946360001,1.90999996662,0.9399999976160001,2.54999995232,1.1399999856899998,1.20000004768,1.8300000429199998
ZnO,-25540.809204712215,-25540.911172888984,0.10196817676842329,ZB,30.0,8.0,4.0,2.0,-10.1354999542,-16.433200836199997,1.08070003986,-3.00589990616,-6.21700000763,-9.19699954987,-1.1940000057200002,2.54099988937,1.10000002384,0.460000008345,1.5499999523199999,0.430000007153,2.25,2.22000002861
ZnS,-29945.889373092232,-29946.16518641784,0.27581332560657756,ZB,30.0,16.0,4.0,3.0,-10.1354999542,-11.795100212100001,1.08070003986,-2.8448998928099996,-6.21700000763,-7.105999946589999,-1.1940000057200002,0.64200001955,1.10000002384,0.7400000095370001,1.5499999523199999,0.850000023842,2.25,2.36999988556
ZnSe,-57752.31987547867,-57752.58301237795,0.26313689928065287,ZB,30.0,34.0,4.0,4.0,-10.1354999542,-10.9460000992,1.08070003986,-2.7509999275200006,-6.21700000763,-6.65399980545,-1.1940000057200002,1.31599998474,1.10000002384,0.800000011921,1.5499999523199999,0.949999988079,2.25,2.18000006676
ZnTe,-118239.80767561558,-118240.05267691075,0.24500129517400637,ZB,30.0,52.0,4.0,5.0,-10.1354999542,-9.86670017242,1.08070003986,-2.66599988937,-6.21700000763,-6.10900020599,-1.1940000057200002,0.09899999946360001,1.10000002384,0.9399999976160001,1.5499999523199999,1.1399999856899998,2.25,1.8300000429199998
